Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1499990400000,0.08,0.091033,0.08,0.090993,1942.057,1500076799999,170.23852396,1994,1076.405,94.82527222,22262.26697743
1500076800000,0.090993,0.093699,0.087127,0.087635,4013.066,1500163199999,363.03178785,4623,2250.318,203.54149755,22275.36801826
1500163200000,0.087508,0.087635,0.075591,0.082241,8904.158,1500249599999,722.21248196,8137,5557.575,450.34388688,22295.47295841
1500249600000,0.082368,0.088394,0.081699,0.087537,6650.933,1500335999999,568.24653804,7639,3859.485,329.66875309,22165.74281157
1500336000000,0.087831,0.109068,0.084777,0.107732,7245.741,1500422399999,674.49785037,8121,4202.055,393.11140275,22505.62469176
1500422400000,0.107732,0.108732,0.08429,0.086853,7384.976,1500508799999,723.00911562,8314,4794.262,468.26023838,22694.83280054
1500508800000,0.087144,0.095252,0.074982,0.080509,6395.16,1500595199999,564.01770441,6535,4266.261,375.19828457,22680.25672156
1500595200000,0.080383,0.087511,0.079635,0.081581,7434.389,1500681599999,618.20894652,7839,4604.947,382.99257488,22725.62782143
1500681600000,0.081586,0.084733,0.079856,0.082474,7979.899,1500767999999,651.60703581,8841,4460.358,364.37225928,22661.58158102
1500768000000,0.082312,0.08456,0.081417,0.083533,6340.799,1500854399999,527.55598124,7032,3714.152,309.05616001,22494.29294971
1500854400000,0.083438,0.083973,0.082265,0.083161,7380.244,1500940799999,612.72702417,8346,3931.116,326.44455142,22474.16443102
1500940800000,0.083149,0.083149,0.075482,0.079654,7845.032,1501027199999,634.98369428,8099,4588.865,371.28600482,22508.98528992
1501027200000,0.079676,0.081172,0.07761,0.079892,7496.738,1501113599999,599.43177658,8700,4326.597,345.79967266,25796.90357168
1501113600000,0.079815,0.081867,0.077059,0.077449,8311.206,1501199999999,667.17746185,9001,4442.543,356.68582013,25618.59992375
1501200000000,0.077059,0.077859,0.066827,0.068802,11013.824,1501286399999,790.35738935,11121,5919.016,425.02549738,25589.59179554
1501286400000,0.068797,0.076814,0.064335,0.075773,14305.369,1501372799999,982.45449195,13734,7259.966,498.44887227,25845.85312057
1501372800000,0.076009,0.076684,0.069876,0.070109,12989.765,1501459199999,952.079687,13038,6641.977,486.80260453,25973.49745228
1501459200000,0.070406,0.073341,0.06759,0.072484,12029.45,1501545599999,857.24421228,12674,6058.304,431.74541787,25543.75751672
1501545600000,0.072459,0.08526,0.07237,0.083568,13623.227,1501631999999,1070.58897241,12474,6716.243,527.65028424,25752.88474734
1501632000000,0.083568,0.084967,0.07963,0.08016,13678.63,1501718399999,1115.12601961,13297,6878.69,560.98509007,26180.31477711
1501718400000,0.080168,0.083795,0.078277,0.078965,11389.116,1501804799999,919.3144725,12318,5792.358,467.60784097,26410.13557257
1501804800000,0.078965,0.08071,0.076332,0.076475,12523.985,1501891199999,981.51828688,13124,6230.743,488.40851988,26198.63722539
1501891200000,0.076563,0.079322,0.071325,0.07916,12348.255,1501977599999,944.28885525,12351,6213.194,474.98887142,25982.58680144
1501977600000,0.07916,0.083151,0.07851,0.081029,13069.284,1502063999999,1052.56125721,13121,6764.025,544.75007561,27058.31831125
1502064000000,0.081029,0.082475,0.079547,0.081171,13667.775,1502150399999,1107.69611104,13657,6659.372,539.81376919,27612.02406809
1502150400000,0.081171,0.087444,0.078,0.085296,14885.592,1502236799999,1225.48669378,12549,7767.231,638.81585555,28678.11662089
1502236800000,0.085331,0.093578,0.080372,0.083159,15503.613,1502323199999,1367.06462099,13223,7853.827,692.24501656,29912.24292863
1502323200000,0.083303,0.09092,0.082489,0.084466,16483.655,1502409599999,1447.36742932,14600,7863.004,690.44771889,32608.72402079
1502409600000,0.084613,0.087178,0.083167,0.084941,18017.655,1502495999999,1536.48833639,19466,8574.35,731.14751485,34582.06809818
1502496000000,0.08495,0.087601,0.08001,0.080163,15210.946,1502582399999,1274.94670235,15661,7546.025,632.38789867,35841.98655465
1502582400000,0.080182,0.080459,0.068007,0.073824,20955.915,1502668799999,1533.75840576,20875,10336.51,755.85995852,40432.13669564
1502668800000,0.07385,0.079911,0.068535,0.070899,28508.69,1502755199999,2068.81079592,29214,12371.913,895.36873599,46793.2716527
1502755200000,0.070899,0.0752,0.066161,0.069395,28889.165,1502841599999,2022.91292395,22507,12518.131,876.20248789,45076.38797677
1502841600000,0.069395,0.076669,0.06831,0.069743,22035.269,1502927999999,1572.47841719,21235,9693.439,691.48619731,46333.43537881
1502928000000,0.069735,0.072254,0.068077,0.070479,24002.431,1503014399999,1686.62915217,21902,11539.092,810.8125656,50579.87228839
1503014400000,0.070479,0.073005,0.069565,0.071433,29861.756,1503100799999,2119.4724845,24863,13550.898,961.63183257,55329.57432378
1503100800000,0.071187,0.073741,0.069925,0.070036,19918.665,1503187199999,1423.13687305,17925,9557.496,683.21015383,58005.17104565
1503187200000,0.070347,0.073,0.069,0.072198,22530.294,1503273599999,1604.55621322,25211,10076.751,718.12849409,60299.06615403
1503273600000,0.072198,0.088658,0.071509,0.08052,48283.416,1503359999999,3853.92734961,38628,23734.14,1891.11375598,66203.84022245
1503360000000,0.080688,0.0845,0.07001,0.076825,42660.05,1503446399999,3403.45228003,37676,20201.663,1614.02561432,66821.52067468
1503446400000,0.076794,0.079689,0.074164,0.07706,41661.392,1503532799999,3190.72741408,39489,20838.571,1595.23480397,76587.70953099
1503532800000,0.07706,0.078649,0.074567,0.075339,44430.692,1503619199999,3397.32062849,32387,22261.026,1701.70345517,102226.34289434
1503619200000,0.075302,0.0779,0.074742,0.076587,35690.377,1503705599999,2730.55917422,27997,18864.971,1443.15919576,106332.85796088
1503705600000,0.076593,0.078708,0.075269,0.076647,31475.752,1503791999999,2413.9001983,21898,16968.256,1301.70908479,92462.65806951
1503792000000,0.076647,0.0826,0.075377,0.080436,36949.127,1503878399999,2863.88871942,27862,20213.334,1567.03995873,88406.05374074
1503878400000,0.080649,0.081884,0.078501,0.079632,28745.668,1503964799999,2298.99136802,22410,15654.071,1252.20986331,82902.92984582
1503964800000,0.079632,0.084402,0.079037,0.081551,32574.221,1504051199999,2646.16066127,27038,17225.969,1399.18224611,85024.5447343
1504051200000,0.081551,0.085085,0.080776,0.0842,30766.059,1504137599999,2552.04532987,26521,16740.835,1388.52362344,84593.83335425
1504137600000,0.084032,0.084198,0.081598,0.081967,26520.598,1504223999999,2195.58416369,21821,13622.224,1127.83984406,82026.24194321
